ATIVO	PRODUTO	DATE	QUANTIDADE	VALOR LÍQUIDO
RENDA FIXA	DEB - CONC. ECOVIAS DOS IMIGRANTES S.A.	5-2023	3	1752,9
RENDA FIXA	CDB - BANCO BS2 S.A	5-2024	1	1265,94
RENDA FIXA	CDB - BANCO MASTER S/A	5-2024	1	1252,59
RENDA FIXA	CDB - BANCO MASTER S/A	5-2024	1	1170
RENDA FIXA	CDB - BANCO MASTER S/A	5-2024	2	2497,84
RENDA FIXA	LCA - BANCO ABC-BRASIL S/A	5-2024	1	11361,49
RENDA FIXA	LCA - BANCO ABC-BRASIL S/A	5-2024	1	14304,63
RENDA FIXA	CDB - BANCO MASTER S/A	6-2022	15	15123,67
RENDA FIXA	DEB - CONC. ECOVIAS DOS IMIGRANTES S.A.	6-2022	3	3484,57
RENDA FIXA	CDB - BANCO BS2 S.A	6-2023	1	1136,1
RENDA FIXA	CDB - BANCO MASTER S/A	6-2023	1	1060
RENDA FIXA	CDB - BANCO MASTER S/A	6-2023	2	2254,26
RENDA FIXA	CDB - BANCO MASTER S/A	6-2023	1	1130,45
RENDA FIXA	CDB - BANCO MASTER S/A	6-2023	15	17172,15
RENDA FIXA	DEB - CONC. ECOVIAS DOS IMIGRANTES S.A.	6-2023	3	1777,58
RENDA FIXA	CDB - BANCO BS2 S.A	6-2024	1	1276,76
RENDA FIXA	CDB - BANCO MASTER S/A	6-2024	1	1262,47
RENDA FIXA	CDB - BANCO MASTER S/A	6-2024	2	2517,52
RENDA FIXA	CDB - BANCO MASTER S/A	6-2024	1	1170
RENDA FIXA	LCA - BANCO ABC-BRASIL S/A	6-2024	1	14446,26
RENDA FIXA	LCA - BANCO ABC-BRASIL S/A	6-2024	1	11473,98
RENDA FIXA	CDB - BANCO MASTER S/A	7-2022	15	15280,18
RENDA FIXA	CDB - BANCO MASTER S/A	7-2022	2	2005,89
RENDA FIXA	CDB - BANCO MASTER S/A	7-2022	1	1005,9
RENDA FIXA	DEB - CONC. ECOVIAS DOS IMIGRANTES S.A.	7-2022	3	3460,11
RENDA FIXA	CDB - BANCO BS2 S.A	7-2023	1	1146,92
RENDA FIXA	CDB - BANCO MASTER S/A	7-2023	15	17356,2
RENDA FIXA	CDB - BANCO MASTER S/A	7-2023	1	1060
RENDA FIXA	CDB - BANCO MASTER S/A	7-2023	1	1142,57
RENDA FIXA	CDB - BANCO MASTER S/A	7-2023	2	2278,42
RENDA FIXA	DEB - CONC. ECOVIAS DOS IMIGRANTES S.A.	7-2023	3	1799,35
RENDA FIXA	CDB - BANCO BS2 S.A	7-2024	1	1287,58
RENDA FIXA	CDB - BANCO MASTER S/A	7-2024	1	1190
RENDA FIXA	LCA - BANCO ABC-BRASIL S/A	7-2024	1	14587,89
RENDA FIXA	LCA - BANCO ABC-BRASIL S/A	7-2024	1	11586,47
RENDA FIXA	CDB - BANCO MASTER S/A	8-2022	2	2029,34
RENDA FIXA	CDB - BANCO MASTER S/A	8-2022	15	15458,86
RENDA FIXA	CDB - BANCO MASTER S/A	8-2022	1	1017,66
RENDA FIXA	DEB - CONC. ECOVIAS DOS IMIGRANTES S.A.	8-2022	3	3464,25
RENDA FIXA	CDB - BANCO BS2 S.A	8-2023	1	1157,74
RENDA FIXA	CDB - BANCO MASTER S/A	8-2023	2	2304,34
RENDA FIXA	CDB - BANCO MASTER S/A	8-2023	1	1070
RENDA FIXA	CDB - BANCO MASTER S/A	8-2023	15	17553,6
RENDA FIXA	CDB - BANCO MASTER S/A	8-2023	1	1155,56
RENDA FIXA	DEB - CONC. ECOVIAS DOS IMIGRANTES S.A.	8-2023	3	1816,27
RENDA FIXA	CDB - BANCO MASTER S/A	8-2024	1	1190
RENDA FIXA	LCA - BANCO ABC-BRASIL S/A	8-2024	1	11698,96
RENDA FIXA	LCA - BANCO ABC-BRASIL S/A	8-2024	1	14587,89
RENDA FIXA	CDB - BANCO MASTER S/A	9-2022	2	2051,1
RENDA FIXA	CDB - BANCO MASTER S/A	9-2022	15	15624,57
RENDA FIXA	CDB - BANCO MASTER S/A	9-2022	1	1028,57
RENDA FIXA	DEB - CONC. ECOVIAS DOS IMIGRANTES S.A.	9-2022	3	3457,74
RENDA FIXA	CDB - BANCO BS2 S.A	9-2023	1	1168,56
RENDA FIXA	CDB - BANCO MASTER S/A	9-2023	1	1070
RENDA FIXA	CDB - BANCO MASTER S/A	9-2023	15	17724,45
RENDA FIXA	CDB - BANCO MASTER S/A	9-2023	2	2326,76
RENDA FIXA	CDB - BANCO MASTER S/A	9-2023	1	1166,8
RENDA FIXA	DEB - CONC. ECOVIAS DOS IMIGRANTES S.A.	9-2023	3	1833
RENDA FIXA	CDB - BANCO MASTER S/A	9-2024	1	1210
RENDA FIXA	LCA - BANCO ABC-BRASIL S/A	9-2024	1	11698,96
RENDA FIXA	LCA - BANCO ABC-BRASIL S/A	9-2024	1	14729,52
RENDA FIXA	CDB – BANCO DAYCOVAL	5-2024	1	30062,95
RENDA FIXA	CDB – BANCO DAYCOVAL	6-2024	1	30302
RENDA FIXA	CDB – BANCO DAYCOVAL	7-2024	1	30526
RENDA FIXA	CDB – BANCO DAYCOVAL	8-2024	1	30764
RENDA FIXA	CDB – BANCO DAYCOVAL	9-2024	1	30995
USD	ETF AVENUE	4-2021	2	6792,93
USD	ETF AVENUE	5-2021	2	6723,36
USD	ETF AVENUE	6-2021	2	6605,13
USD	ETF AVENUE	7-2021	2	7089,66
USD	ETF AVENUE	8-2021	2	7246,05
USD	ETF AVENUE	9-2021	2	7213,44
USD	ETF AVENUE	10-2021	2	8003,16
USD	ETF AVENUE	11-2021	2	7968,37
USD	ETF AVENUE	12-2021	2	8600,64
USD	ETF AVENUE	1-2022	2	7377,6
USD	ETF AVENUE	2-2022	2	6961,5
USD	ETF AVENUE	3-2022	2	6863,92
USD	ETF AVENUE	4-2022	2	6798,96
USD	ETF AVENUE	5-2022	2	6172,65
USD	ETF AVENUE	6-2022	2	6397,1
USD	ETF AVENUE	7-2022	2	6762,36
USD	ETF AVENUE	8-2022	2	6350,99
USD	ETF AVENUE	9-2022	2	5858,93
USD	ETF AVENUE	10-2022	2	5744,62
USD	ETF AVENUE	11-2022	2	5891,6
USD	ETF AVENUE	12-2022	2	5871,36
USD	ETF AVENUE	1-2023	2	6180,33
USD	ETF AVENUE	2-2023	2	5888,16
USD	ETF AVENUE	3-2023	2	5652,02
USD	ETF AVENUE	4-2023	2	5773,43
USD	ETF AVENUE	5-2023	2	5705,89
USD	ETF AVENUE	6-2023	2	5633,04
USD	ETF AVENUE	7-2023	2	5628,7
USD	ETF AVENUE	8-2023	2	5605,37
USD	ETF AVENUE	9-2023	2	5788,06
USD	ETF AVENUE	10-2023	2	5656
USD	ETF AVENUE	11-2023	2	6169,68
USD	ETF AVENUE	12-2023	2	8114,05
USD	ETF AVENUE	1-2024	2	8004,15
USD	ETF AVENUE	2-2024	2	8510,82
USD	ETF AVENUE	3-2024	2	9280
USD	ETF AVENUE	4-2024	2	9548,99
USD	ETF AVENUE	5-2024	2	9845,43
USD	ETF AVENUE	6-2024	2	12731,7
USD	ETF AVENUE	7-2024	2	13782,1
USD	ETF AVENUE	8-2024	2	14435,75
USD	ETF AVENUE	9-2024	2	17658
